issue_a,issue_b,split_a,split_b,cosine_similarity,cross_split,decision
27822,28267,train,train,1.0000,False,
27822,32439,train,train,1.0000,False,
27822,34198,train,val,1.0000,True,
27822,34838,train,train,1.0000,False,
27822,34843,train,train,1.0000,False,
27822,35614,train,val,1.0000,True,
27822,35751,train,train,1.0000,False,
27822,35755,train,val,1.0000,True,
27822,35770,train,train,1.0000,False,
27822,35772,train,train,1.0000,False,
27822,36285,train,train,1.0000,False,
27822,36926,train,train,1.0000,False,
27822,27674,train,val,1.0000,True,
27822,28438,train,train,1.0000,False,
27822,30350,train,train,1.0000,False,
27822,34200,train,train,1.0000,False,
27822,34209,train,train,1.0000,False,
27822,30682,train,val,1.0000,True,
27822,32440,train,val,1.0000,True,
28267,32439,train,train,1.0000,False,
28267,34198,train,val,1.0000,True,
28267,34838,train,train,1.0000,False,
28267,34843,train,train,1.0000,False,
28267,35614,train,val,1.0000,True,
28267,35751,train,train,1.0000,False,
28267,35755,train,val,1.0000,True,
28267,35770,train,train,1.0000,False,
28267,35772,train,train,1.0000,False,
28267,36285,train,train,1.0000,False,
28267,36926,train,train,1.0000,False,
28267,27674,train,val,1.0000,True,
28267,28438,train,train,1.0000,False,
28267,30350,train,train,1.0000,False,
28267,34200,train,train,1.0000,False,
28267,34209,train,train,1.0000,False,
28267,30682,train,val,1.0000,True,
28267,32440,train,val,1.0000,True,
29734,30473,train,train,1.0000,False,
29734,30573,train,train,1.0000,False,
29734,34205,train,train,1.0000,False,
29734,34675,train,train,1.0000,False,
29734,35239,train,train,1.0000,False,
29734,36118,train,train,1.0000,False,
29734,27681,train,val,1.0000,True,
29734,28423,train,train,1.0000,False,
29734,31191,train,val,1.0000,True,
29734,32570,train,train,1.0000,False,
29734,32683,train,train,1.0000,False,
29734,33992,train,train,1.0000,False,
29734,34478,train,train,1.0000,False,
29734,36111,train,train,1.0000,False,
29734,31120,train,train,1.0000,False,
29734,36562,train,train,1.0000,False,
30375,32910,train,val,1.0000,True,
30375,32994,train,train,1.0000,False,
30375,34986,train,val,1.0000,True,
30375,28730,train,train,1.0000,False,
30375,30322,train,val,1.0000,True,
30375,30408,train,train,1.0000,False,
30375,30570,train,train,1.0000,False,
30375,32036,train,train,1.0000,False,
30375,34117,train,train,1.0000,False,
30375,35826,train,val,1.0000,True,
30473,30573,train,train,1.0000,False,
30473,34205,train,train,1.0000,False,
30473,34675,train,train,1.0000,False,
30473,35239,train,train,1.0000,False,
30473,36118,train,train,1.0000,False,
30473,27681,train,val,1.0000,True,
30473,28423,train,train,1.0000,False,
30473,31191,train,val,1.0000,True,
30473,32570,train,train,1.0000,False,
30473,32683,train,train,1.0000,False,
30473,33992,train,train,1.0000,False,
30473,34478,train,train,1.0000,False,
30473,36111,train,train,1.0000,False,
30473,31120,train,train,1.0000,False,
30473,36562,train,train,1.0000,False,
